,Unnamed: 0,ratings,action,categories,dislikes,likes,durations,view_cnts,years,months,days,hours,minutes,weekdays,link,titles,source,query,datetime
0,0,4.8682661,Watched,['Entertainment'],6105.0,179269.0,143.0,12611188.0,2019,10,1,2,28,1,https://www.youtube.com/watch?v=0doSWS0Fj24,YOU ARE A CUNT,youtube,,2019-10-01 02:28:00
52,51,,Visited,[],,,,,2019,10,1,2,29,1,,,search,https://www.rdocumentation.org/packages/DescTools/versions/0.99.19/topics/DunnettTest,2019-10-01 02:29:00
51,50,,Visited,"[['/Health/Medical Facilities & Services/Medical Procedures', 0.5400000214576721], ['/Arts & Entertainment', 0.5299999713897705]]",,,,,2019,10,1,2,33,1,,,search,Dunnett's test in R returning different values each time - Cross ...,2019-10-01 02:33:00
50,49,,Visited,[],,,,,2019,10,1,2,34,1,,,search,https://stat.ethz.ch/pipermail/r-help/2015-June/429302.html,2019-10-01 02:34:00
49,48,,Searched,"[['/Arts & Entertainment', 0.6800000071525574]]",,,,,2019,10,1,2,36,1,,,search,dunnett test in r,2019-10-01 02:36:00
48,47,,Visited,[],,,,,2019,10,1,2,36,1,,,search,Package 'DunnettTests' - CRAN,2019-10-01 02:36:00
47,46,,Visited,[],,,,,2019,10,1,2,36,1,,,search,dunnettTest: Dunnett's Many-to-One Comparisons Test in ... - Rdrr.io,2019-10-01 02:36:00
46,45,,Searched,"[['/Arts & Entertainment', 0.699999988079071]]",,,,,2019,10,1,2,38,1,,,search,dunnett test r script,2019-10-01 02:38:00
45,44,,Visited,"[['/People & Society', 0.6800000071525574], ['/Health', 0.6200000047683716], ['/Reference', 0.5400000214576721]]",,,,,2019,10,1,2,38,1,,,search,Dunnett's Multiple Test of The Difference Using 'R' | Bioinfomagician,2019-10-01 02:38:00
44,43,,Searched,[],,,,,2019,10,1,2,42,1,,,search,what does lm do in r,2019-10-01 02:42:00
43,42,,Searched,"[['/Health', 0.6899999976158142]]",,,,,2019,10,28,16,59,0,,,search,"Using the data in Display 11.3 (file case1102), perform the following variable-selection techniques to find a subset of the covariates—days after inoculation, tumor weight, weight loss, initial weight, and sex—for explaining log of the ratio of brain tumor antibody count to liver antibody count. (a) Cp plot (b) forward selection (c) backward elimination (d) stepwise regression.",2019-10-28 16:59:00
42,41,,Visited,"[['/Reference/General Reference', 0.800000011920929], ['/Jobs & Education/Education', 0.5400000214576721]]",,,,,2019,10,28,16,59,0,,,search,Blood–Brain Barrier. Using the data in Display 11.3 (fi... | Chegg.com,2019-10-28 16:59:00
41,40,,Visited,"[['/Reference/General Reference', 0.8299999833106995], ['/Jobs & Education/Education', 0.699999988079071]]",,,,,2019,10,28,17,0,0,,,search,Blood-Brain Barrier. Using The Data In Display 11.... | Chegg.com,2019-10-28 17:00:00
40,39,,Visited,[],,,,,2019,10,28,17,0,0,,,search,(Get Answer) - Blood–Brain Barrier. Using the data in Display 11.3 ...,2019-10-28 17:00:00
39,38,,Visited,"[['/Computers & Electronics', 0.5799999833106995]]",,,,,2019,10,28,17,1,0,,,search,(Solved) - 14. Blood–Brain Barrier. Using the data in Display 11.3 ...,2019-10-28 17:01:00
38,37,,Visited,[],,,,,2019,10,28,17,2,0,,,search,Untitled - Methods of data analysis.stat512,2019-10-28 17:02:00
37,36,,Visited,"[['/Computers & Electronics', 0.8299999833106995]]",,,,,2019,10,28,17,2,0,,,search,Compute a Cp plot. - R,2019-10-28 17:02:00
36,35,,Visited,"[['/Computers & Electronics/Programming', 0.6800000071525574], ['/Science/Computer Science', 0.6800000071525574]]",,,,,2019,10,28,17,11,0,,,search,cp.plot function | R Documentation,2019-10-28 17:11:00
35,34,,Visited,"[['/Computers & Electronics/Programming', 0.6800000071525574], ['/Science/Computer Science', 0.6800000071525574]]",,,,,2019,10,28,17,15,0,,,search,cp.plot function | R Documentation,2019-10-28 17:15:00
34,33,,Visited,"[['/Arts & Entertainment', 0.5299999713897705]]",,,,,2019,10,28,17,16,0,,,search,cp-plot.R,2019-10-28 17:16:00
